N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
1,distance,brute,20,4.5,cityblock,0.2265646964162547
5,distance,ball_tree,40,4.5,l2,0.1559337963279012
10,distance,brute,20,2.5,manhattan,0.1530259555208789
7,distance,ball_tree,30,4.0,cityblock,0.1521304234485205
7,uniform,ball_tree,90,4.0,l2,0.1537103968088649
8,uniform,kd_tree,60,4.5,l1,0.1554761986165119
4,distance,ball_tree,60,1.0,manhattan,0.1600602091766657
10,uniform,ball_tree,10,3.5,cityblock,0.1560434791358198
3,distance,brute,10,4.5,l1,0.1659805629366767
7,uniform,ball_tree,40,1.5,l2,0.1537103968088649
6,uniform,kd_tree,70,3.0,l2,0.1526863212831964
3,distance,kd_tree,80,4.0,manhattan,0.1659805629366767
9,uniform,brute,10,1.5,manhattan,0.1552892978224852
10,distance,brute,90,3.0,l2,0.1530363893084083
9,uniform,kd_tree,60,3.5,euclidean,0.1541180916938268
2,uniform,brute,90,4.0,l2,0.1755845200149475
7,distance,brute,30,3.5,l1,0.1521304234485205
5,distance,kd_tree,80,1.0,cityblock,0.1574195342513477
2,uniform,ball_tree,10,3.0,euclidean,0.1755845200149475
4,uniform,ball_tree,70,2.5,cityblock,0.1624972590823765
4,uniform,brute,70,2.5,cityblock,0.1624972590823765
7,distance,ball_tree,60,1.0,l1,0.1521304234485205
2,distance,ball_tree,60,1.5,manhattan,0.1740570727627656
3,uniform,ball_tree,10,1.0,cityblock,0.1681890829483401
8,distance,brute,20,1.5,manhattan,0.1526608197858037
10,distance,kd_tree,20,4.0,cityblock,0.1530259555208789
7,distance,kd_tree,10,2.0,cityblock,0.1521304234485205
2,uniform,ball_tree,40,4.5,euclidean,0.1755845200149475
6,uniform,ball_tree,100,4.0,manhattan,0.1562986787332894
2,uniform,kd_tree,80,2.5,l1,0.174843931488546
8,distance,brute,20,1.0,manhattan,0.1526608197858037
2,distance,brute,90,2.5,l2,0.1738417697297408
2,distance,kd_tree,50,1.0,manhattan,0.1740570727627656
2,distance,kd_tree,10,4.0,l1,0.1740570727627656
4,distance,brute,90,3.5,manhattan,0.1600602091766657
9,distance,kd_tree,90,1.0,l1,0.152612815735067
4,distance,brute,30,1.5,euclidean,0.1582304352279877
2,distance,kd_tree,40,3.0,manhattan,0.1740570727627656
5,uniform,kd_tree,70,3.0,manhattan,0.1594751292464481
8,distance,brute,70,3.5,manhattan,0.1526608197858037
3,distance,kd_tree,20,1.0,l2,0.164039175138815
1,uniform,ball_tree,30,1.0,cityblock,0.2265646964162547
10,distance,kd_tree,40,4.0,l1,0.1530259555208789
8,distance,kd_tree,70,1.0,euclidean,0.1531672513237807
3,uniform,brute,50,1.5,l2,0.1666090877825101
2,uniform,kd_tree,30,3.5,euclidean,0.1755845200149475
9,distance,kd_tree,80,4.5,euclidean,0.1516520922138087
10,distance,brute,50,4.0,manhattan,0.1530259555208789
6,distance,ball_tree,60,4.5,euclidean,0.1508502879428336
6,uniform,ball_tree,50,3.5,euclidean,0.1526863212831964
7,uniform,ball_tree,90,4.0,manhattan,0.1544052605246419
3,uniform,brute,40,3.0,l2,0.1666090877825101
8,distance,ball_tree,40,2.0,euclidean,0.1531672513237807
1,distance,brute,50,4.0,l1,0.2265646964162547
4,distance,brute,60,2.5,l1,0.1600602091766657
10,distance,brute,80,1.0,l1,0.1530259555208789
5,distance,ball_tree,60,4.0,l1,0.1574195342513477
6,uniform,brute,70,3.0,manhattan,0.1562986787332894
5,distance,ball_tree,10,3.5,l2,0.1559337963279012
10,distance,ball_tree,100,1.0,l1,0.1530259555208789
6,distance,ball_tree,30,3.0,cityblock,0.1539940428580032
5,uniform,brute,20,1.0,l2,0.1584453172200152
2,uniform,kd_tree,40,3.0,l2,0.1755845200149475
