criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
absolute_error,best,2,37,0.3,100,0.0,0.1820275805012005
friedman_mse,best,5,1,0.5,10000,0.3,0.1812252062325326
squared_error,best,2,37,0.5,10,0.5,0.1812252062325326
absolute_error,random,2,37,0.3,1000,0.1,0.1820275805012005
absolute_error,random,5,10,0.3,1000,0.0,0.1820275805012005
squared_error,random,100,37,0.8999999999999999,100,0.2,0.1812252062325326
poisson,random,100,1,0.7999999999999999,10000,0.8999999999999999,0.1812252062325326
absolute_error,random,5,1,0.3,10,0.7999999999999999,0.1820275805012005
absolute_error,best,5,1,0.7999999999999999,100,1.0,0.1820275805012005
poisson,random,2,5,0.1,10,0.7999999999999999,0.1812252062325326
squared_error,best,5,100,0.1,10,0.6,0.1812252062325326
squared_error,best,2,1,0.7,10000,0.3,0.1812252062325326
squared_error,random,73,37,0.0,1000,0.5,0.1540331634413713
squared_error,random,5,1,0.5,10000,0.7,0.1812252062325326
absolute_error,best,37,100,1.0,1,1.0,0.1820275805012005
poisson,random,100,5,0.6,10,0.3,0.1812252062325326
friedman_mse,random,10,1,1.0,1,0.1,0.1812252062325326
absolute_error,random,2,10,0.8999999999999999,100,0.3,0.1820275805012005
friedman_mse,random,73,37,0.3,10000,0.3,0.1812252062325326
absolute_error,random,5,1,0.7999999999999999,1000,0.7,0.1820275805012005
absolute_error,best,2,5,0.8999999999999999,1,0.5,0.1820275805012005
absolute_error,best,10,2,0.5,10000,0.7999999999999999,0.1820275805012005
friedman_mse,random,37,73,0.1,10000,0.7,0.1812252062325326
friedman_mse,random,2,1,0.8999999999999999,10,1.0,0.1812252062325326
poisson,random,37,10,0.8999999999999999,10,0.8999999999999999,0.1812252062325326
squared_error,random,10,5,0.0,100,0.6,0.1408214325204776
squared_error,random,10,10,0.5,10,1.0,0.1812252062325326
squared_error,best,73,100,0.4,1000,0.1,0.1812252062325326
friedman_mse,best,73,10,0.0,100,0.2,0.1407526999617857
