N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
10,distance,ball_tree,30,3.5,cityblock,1951.238597140682
9,distance,ball_tree,30,3.0,l2,2232.4020381935848
7,distance,kd_tree,80,3.0,l1,1870.4310828852329
1,uniform,brute,70,2.5,l2,1836.4038850694428
9,distance,brute,70,3.0,manhattan,1910.0890445415623
3,uniform,ball_tree,30,2.5,manhattan,1844.8124570891207
2,distance,ball_tree,20,2.0,l2,1751.4499070348593
8,distance,ball_tree,60,3.5,manhattan,1888.754433110601
1,distance,brute,60,2.0,l2,1836.4038850694428
6,distance,ball_tree,20,3.5,l1,1813.691610800661
5,uniform,kd_tree,70,1.0,cityblock,1992.1702712152764
5,uniform,ball_tree,80,4.0,cityblock,2003.5662850694448
6,uniform,brute,50,2.0,manhattan,2008.63029435764
1,distance,ball_tree,90,1.5,l1,1770.3169246527764
4,distance,ball_tree,60,1.0,cityblock,1720.378984970966
2,distance,kd_tree,100,3.0,l1,1685.4646609561007
2,distance,brute,20,4.0,euclidean,1811.137408252008
8,distance,ball_tree,50,1.0,l2,2196.0746746841023
5,uniform,brute,30,4.0,l1,1950.6837943749983
5,distance,ball_tree,80,1.5,l2,2048.200702327406
3,uniform,ball_tree,40,4.0,cityblock,1793.3487778067138
5,distance,kd_tree,10,1.5,l2,2025.1632514765608
7,distance,kd_tree,70,1.5,manhattan,1849.302988605484
2,uniform,brute,90,1.5,l1,1830.5843429253464
10,uniform,ball_tree,30,3.0,l1,2204.087760130208
4,distance,ball_tree,90,3.0,euclidean,1986.895965735323
9,distance,brute,100,3.0,l1,1910.0890445415623
8,uniform,kd_tree,60,3.0,l1,2135.769260145398
2,uniform,ball_tree,80,2.5,l2,1897.240109809028
10,distance,kd_tree,50,1.5,l1,1966.708022463954
8,uniform,brute,20,2.5,l2,2431.830853960503
9,distance,ball_tree,10,2.5,l2,2243.61314374744
9,uniform,brute,80,1.0,l1,2144.443284876544
5,uniform,ball_tree,90,3.5,l2,2268.6464215104165
2,uniform,ball_tree,90,3.5,l1,1768.6805753038188
2,distance,kd_tree,40,2.0,l1,1686.7215085978833
9,uniform,kd_tree,60,3.0,l1,2170.3056349633503
8,distance,ball_tree,80,1.0,l2,2197.93717696994
6,distance,ball_tree,80,1.5,manhattan,1812.3331255895016
8,uniform,kd_tree,60,3.5,manhattan,2135.769260145398
5,uniform,brute,10,2.5,euclidean,2239.25912970486
1,distance,brute,10,4.0,euclidean,1836.4038850694428
1,distance,brute,80,3.0,euclidean,1836.4038850694428
7,uniform,ball_tree,100,3.5,l1,2096.6250118799626
4,distance,ball_tree,60,2.0,manhattan,1720.378984970966
6,distance,kd_tree,50,4.0,l1,1800.6634907680548
9,distance,kd_tree,70,4.0,l1,1923.0347524108893
6,distance,brute,80,1.0,manhattan,1795.5863513373456
10,distance,brute,80,3.0,l2,2280.158966955157
8,distance,kd_tree,90,3.0,euclidean,2199.6143082257336
1,uniform,ball_tree,80,3.0,manhattan,1770.3169246527764
4,distance,ball_tree,40,3.5,cityblock,1720.378984970966
9,uniform,ball_tree,10,1.5,l2,2486.2225469907416
9,distance,kd_tree,30,1.0,cityblock,1932.3076674874803
1,uniform,brute,50,4.0,euclidean,1836.4038850694428
9,uniform,ball_tree,90,4.5,manhattan,2155.0005701871155
6,distance,kd_tree,20,4.0,l1,1816.480395298836
5,distance,ball_tree,50,4.0,euclidean,2020.930750445818
1,uniform,ball_tree,70,2.0,cityblock,1753.037386545138
1,uniform,kd_tree,50,2.5,l1,1761.487921093749
3,uniform,kd_tree,100,2.0,cityblock,1846.1428260416665
1,distance,brute,20,1.5,manhattan,1791.0471459201376
2,uniform,ball_tree,60,2.0,manhattan,1803.526808723958
4,uniform,brute,10,2.0,l2,2239.7651857638884
7,distance,kd_tree,10,1.0,manhattan,1848.3972050396528
4,distance,ball_tree,30,2.0,manhattan,1691.203721435676
4,uniform,ball_tree,30,2.0,euclidean,2222.7110798177077
5,distance,brute,30,1.5,euclidean,2024.203906032044
5,distance,ball_tree,90,4.0,euclidean,2048.200702327406
1,uniform,kd_tree,80,1.5,cityblock,1765.9908098958315
2,uniform,ball_tree,80,1.0,l2,1897.240109809028
3,uniform,ball_tree,30,1.0,euclidean,2008.6863985532395
9,distance,kd_tree,40,4.0,euclidean,2242.9170957046053
3,distance,ball_tree,50,4.0,l1,1644.47821430591
6,uniform,brute,100,1.0,l2,2270.693337427662
