criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
friedman_mse,random,10,1,0.5,10000,0.7,277.91308030182336
poisson,random,100,10,0.5,10,0.7,443.9486205924395
absolute_error,random,2,10,0.30000000000000004,1000,0.0,339.11978624535317
poisson,random,10,5,0.30000000000000004,10,0.5,385.7958604797163
absolute_error,random,73,5,0.30000000000000004,10,0.7999999999999999,357.211719330855
squared_error,best,2,37,0.4,100,0.9999999999999999,375.41923983198467
squared_error,random,2,73,0.2,100,0.7999999999999999,1719.788839536799
poisson,random,5,100,0.1,1000,0.6,1944.0361154660836
absolute_error,best,73,1,0.7999999999999999,10000,0.7999999999999999,352.4125371747212
poisson,best,10,37,0.9999999999999999,1000,0.8999999999999999,399.5187328129814
absolute_error,random,73,5,0.7,100,0.7999999999999999,357.211719330855
squared_error,random,100,73,0.7999999999999999,10,0.7999999999999999,1719.788839536799
squared_error,random,10,2,0.1,10,0.8999999999999999,290.1509625245078
friedman_mse,best,10,73,0.2,1,0.4,1339.4588032548336
poisson,random,100,1,0.6,10000,0.7999999999999999,443.9486205924395
squared_error,best,100,73,0.8999999999999999,1,0.1,1339.4588032548336
squared_error,random,5,100,0.9999999999999999,10,0.6,1944.6122178226758
friedman_mse,best,73,2,0.8999999999999999,1,0.8999999999999999,1339.4588032548336
absolute_error,random,10,5,0.4,100,0.7999999999999999,278.2739591078067
absolute_error,best,5,10,0.7,10000,0.2,296.9438847583644
friedman_mse,best,2,37,0.7,10000,0.2,375.41923983198467
squared_error,random,2,1,0.5,100,0.7999999999999999,267.8572211895911
squared_error,random,37,2,0.9999999999999999,1000,0.7,340.71770283337133
squared_error,best,5,73,0.7999999999999999,1000,0.1,605.7706768948514
friedman_mse,random,2,5,0.30000000000000004,10,0.30000000000000004,312.2196154752562
absolute_error,random,73,5,0.0,10,0.2,356.06885687732336
squared_error,best,100,2,0.9999999999999999,10,0.8999999999999999,361.5545225017406
poisson,random,37,10,0.4,1,0.9999999999999999,1845.5527276771957
poisson,best,37,73,0.9999999999999999,10000,0.6,612.3065469435656
friedman_mse,best,5,10,0.0,1,0.5,1339.4588032548336
