N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
1,uniform,brute,70,1.5,l2,458.78278810408926
6,uniform,brute,40,4.0,l2,377.2082496902109
10,distance,kd_tree,90,2.0,l2,394.70792863152496
4,distance,kd_tree,80,3.5,euclidean,343.08284080345135
3,uniform,kd_tree,100,1.0,cityblock,365.18804832713766
5,uniform,brute,60,4.0,l2,359.53616356877313
5,uniform,kd_tree,10,4.0,l1,337.42226765799273
9,distance,brute,30,2.5,l1,352.5877222517571
1,distance,brute,70,1.5,euclidean,458.78278810408926
5,uniform,kd_tree,90,1.5,l2,351.38406319702625
9,uniform,brute,40,1.0,l1,370.7122965716649
2,distance,kd_tree,10,3.5,l2,368.5769582153024
6,uniform,kd_tree,60,4.5,euclidean,372.713324039653
5,distance,brute,40,1.5,l2,351.3554252298326
10,uniform,kd_tree,90,3.0,euclidean,409.8248382899628
2,distance,brute,50,2.5,cityblock,354.8446623296159
9,distance,ball_tree,10,1.0,l1,367.60531805636504
2,uniform,brute,20,4.0,l1,355.018810408922
2,distance,kd_tree,40,3.5,l2,386.200780955554
2,distance,kd_tree,80,3.5,l2,372.0818026228901
7,distance,kd_tree,10,4.5,l1,347.5972601544992
5,distance,kd_tree,60,3.5,l1,343.4312350637284
7,distance,kd_tree,60,3.0,cityblock,352.27836780761584
3,distance,brute,20,4.5,manhattan,342.07252044609663
7,uniform,ball_tree,90,2.0,l1,358.5634121083377
5,distance,brute,60,3.5,l1,337.66741171003747
9,distance,kd_tree,100,1.0,manhattan,361.90270615389016
1,distance,brute,20,4.0,manhattan,458.78278810408926
2,distance,ball_tree,10,2.5,euclidean,369.43119613351803
10,uniform,ball_tree,70,1.5,euclidean,409.3882546468403
10,distance,ball_tree,50,3.0,cityblock,360.1902784029115
7,uniform,kd_tree,10,1.5,euclidean,379.1046680828463
1,distance,ball_tree,20,2.5,l2,479.9528438661711
4,uniform,kd_tree,50,1.5,euclidean,352.9799535315984
8,uniform,kd_tree,20,2.5,euclidean,396.8506459107806
10,distance,ball_tree,100,1.5,l2,394.36795207817954
7,uniform,ball_tree,70,3.0,l1,358.5634121083377
3,distance,kd_tree,70,4.0,cityblock,364.650434944238
4,uniform,ball_tree,80,4.0,manhattan,336.00421468401476
2,uniform,kd_tree,40,1.5,l1,386.3462081784388
1,uniform,ball_tree,70,2.0,cityblock,446.7906133828996
8,distance,brute,70,3.5,l1,348.3674483850885
6,uniform,ball_tree,10,3.0,cityblock,350.6021871127633
3,distance,ball_tree,20,3.5,l1,374.5518767038413
10,uniform,ball_tree,40,1.5,cityblock,380.5300501858735
5,uniform,kd_tree,10,3.5,l2,342.02217472118974
1,distance,kd_tree,60,4.0,euclidean,435.54754646840155
4,distance,ball_tree,10,1.0,cityblock,345.2366600283235
10,distance,kd_tree,60,2.5,l1,363.91852593255487
6,uniform,brute,80,4.5,l2,377.2082496902109
6,uniform,brute,20,3.5,euclidean,377.2082496902109
5,uniform,kd_tree,10,2.0,l2,342.02217472118974
7,uniform,ball_tree,50,2.0,euclidean,385.3468481147105
10,distance,ball_tree,100,3.5,l1,367.212126963448
4,distance,kd_tree,70,3.0,l1,334.7748319614091
1,distance,kd_tree,30,3.5,cityblock,491.75332713754665
10,distance,kd_tree,10,2.5,l2,391.20846327241185
10,uniform,brute,10,4.5,l2,404.0589739776954
7,distance,ball_tree,20,1.5,manhattan,354.86176054236216
1,distance,brute,10,1.0,euclidean,458.78278810408926
4,distance,brute,10,2.5,manhattan,343.24382311028484
8,distance,kd_tree,30,1.5,l1,360.5051484551915
4,uniform,kd_tree,50,4.0,euclidean,352.9799535315984
4,uniform,brute,90,3.5,manhattan,355.2714033457249
6,uniform,ball_tree,60,1.5,l1,360.5645755885996
10,distance,kd_tree,40,3.0,euclidean,392.3203508914802
7,distance,ball_tree,30,4.5,manhattan,354.86176054236216
3,distance,ball_tree,40,4.5,euclidean,364.7342771715946
4,uniform,brute,30,2.5,l2,346.0643401486989
4,distance,ball_tree,50,4.5,euclidean,352.5767219707517
8,distance,brute,70,2.5,euclidean,375.0074113945002
2,uniform,kd_tree,30,2.0,euclidean,403.88108736059485
9,uniform,kd_tree,80,3.0,l2,406.957176786452
2,uniform,kd_tree,40,3.5,manhattan,386.3462081784388
1,uniform,kd_tree,90,1.5,cityblock,442.82332713754647
7,distance,kd_tree,100,3.5,l2,374.19219536617294
6,uniform,brute,70,4.0,euclidean,377.2082496902109
9,uniform,ball_tree,60,3.0,l1,387.2543886823627
7,uniform,kd_tree,90,1.0,l1,360.3858443972385
9,distance,ball_tree,60,4.5,l1,361.5088685495186
9,uniform,ball_tree,30,1.5,manhattan,398.37831681123515
4,distance,ball_tree,50,1.0,cityblock,344.8769210037174
1,uniform,brute,80,1.5,euclidean,458.78278810408926
2,uniform,brute,90,4.0,euclidean,355.018810408922
6,distance,ball_tree,90,3.0,l1,339.2170938133441
8,uniform,ball_tree,80,4.5,l1,386.37246282527883
2,uniform,brute,50,2.5,manhattan,355.018810408922
5,distance,brute,50,3.0,l2,351.3554252298326
8,distance,brute,90,3.0,l2,375.0074113945002
10,distance,brute,40,1.5,manhattan,353.51921084236164
9,distance,kd_tree,100,3.0,cityblock,361.90270615389016
4,uniform,kd_tree,60,4.5,cityblock,347.44840613382894
7,distance,kd_tree,60,2.0,euclidean,372.81109513738346
2,distance,brute,60,3.5,l2,354.9291731488626
7,distance,brute,80,1.5,euclidean,373.6682558266071
7,distance,kd_tree,20,1.5,l2,372.3311858964941
3,uniform,ball_tree,70,1.0,manhattan,361.40972118959115
6,distance,brute,20,1.0,l1,334.33506603372973
3,uniform,ball_tree,70,4.5,manhattan,361.40972118959115
5,distance,ball_tree,80,3.5,l1,342.0405155115951
5,distance,kd_tree,30,2.0,cityblock,347.554028471116
5,distance,ball_tree,30,2.0,manhattan,348.32720269074184
3,uniform,brute,10,4.5,manhattan,343.66601610904576
9,uniform,kd_tree,20,1.5,l1,394.56981412639414
9,uniform,brute,40,1.5,l1,370.7122965716649
2,uniform,ball_tree,40,2.0,l1,384.9921375464685
6,distance,brute,10,4.5,manhattan,334.33506603372973
10,distance,kd_tree,30,1.5,manhattan,375.1360399025142
10,uniform,kd_tree,70,4.5,manhattan,387.8630390334571
8,uniform,kd_tree,50,1.0,cityblock,385.54315520446113
5,distance,brute,30,4.5,manhattan,337.66741171003747
5,uniform,brute,80,4.5,manhattan,348.86965427509307
2,uniform,brute,100,2.0,euclidean,355.018810408922
10,distance,brute,70,4.5,euclidean,389.11246958900676
4,distance,brute,10,1.5,cityblock,343.24382311028484
8,distance,brute,40,1.5,cityblock,348.3674483850885
9,distance,brute,70,2.5,manhattan,352.5877222517571
4,distance,ball_tree,10,2.5,l1,345.2366600283235
8,distance,brute,30,2.5,cityblock,348.3674483850885
4,uniform,kd_tree,30,4.0,manhattan,351.33743959107807
7,uniform,kd_tree,20,3.0,manhattan,373.5370446096653
8,uniform,brute,40,2.0,euclidean,387.61934247211894
10,uniform,brute,90,2.5,cityblock,371.9459107806691
7,uniform,brute,100,2.0,cityblock,359.1915002655337
6,distance,brute,40,4.0,euclidean,364.37141442644065
10,distance,ball_tree,40,3.0,l1,360.1902784029115
7,uniform,kd_tree,70,4.5,l2,388.5243653744028
9,uniform,brute,70,4.0,l2,394.75799669558046
8,distance,brute,10,4.0,euclidean,375.0074113945002
8,distance,kd_tree,20,4.5,l1,360.5051484551915
3,distance,kd_tree,80,4.0,cityblock,364.650434944238
2,uniform,brute,100,2.5,manhattan,355.018810408922
4,uniform,kd_tree,100,3.5,euclidean,345.435971189591
5,uniform,brute,20,2.0,l1,348.86965427509307
3,distance,ball_tree,80,4.5,l2,362.0051706254578
4,distance,brute,70,4.0,cityblock,343.24382311028484
1,distance,brute,30,2.5,cityblock,458.78278810408926
5,uniform,brute,60,1.0,manhattan,348.86965427509307
5,distance,brute,50,1.5,euclidean,351.3554252298326
1,distance,brute,70,4.0,euclidean,458.78278810408926
9,uniform,brute,90,3.0,cityblock,370.7122965716649
5,distance,brute,100,4.5,manhattan,337.66741171003747
3,uniform,ball_tree,40,3.5,l2,365.9736493184634
5,uniform,ball_tree,90,2.5,l2,348.3541338289964
4,distance,kd_tree,10,1.5,manhattan,336.8202316781731
8,uniform,kd_tree,40,4.0,l1,385.54315520446113
2,uniform,kd_tree,30,2.0,manhattan,404.33252788104096
5,uniform,kd_tree,10,4.0,manhattan,337.42226765799273
10,distance,ball_tree,100,1.5,cityblock,367.212126963448
1,distance,brute,40,4.5,l1,458.78278810408926
2,distance,brute,70,2.5,manhattan,354.8446623296159
8,distance,brute,10,3.0,l1,348.3674483850885
10,uniform,kd_tree,90,4.0,cityblock,387.8630390334571
5,uniform,brute,10,3.0,l1,348.86965427509307
9,uniform,kd_tree,70,4.0,l1,385.63694754233796
3,distance,kd_tree,30,3.0,manhattan,377.0261468401486
1,distance,ball_tree,70,4.0,l1,446.7906133828996
8,distance,brute,100,3.0,euclidean,375.0074113945002
3,uniform,brute,80,3.5,euclidean,342.01026641883504
2,distance,kd_tree,80,3.0,manhattan,374.08836741016114
7,distance,kd_tree,70,4.0,l2,374.19219536617294
4,uniform,ball_tree,40,1.5,manhattan,348.4179972118959
