N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
5,distance,brute,60,1.0,cityblock,337.66741171003747
4,distance,ball_tree,50,2.0,l1,344.8769210037174
2,uniform,ball_tree,60,1.5,cityblock,384.9921375464685
3,uniform,ball_tree,60,2.0,l2,365.9736493184634
4,distance,ball_tree,20,3.5,l1,348.15370255797484
1,uniform,kd_tree,60,2.5,l1,435.5475464684016
4,distance,brute,60,4.5,l2,342.0018965208796
2,distance,ball_tree,70,1.0,cityblock,378.7416945477076
1,distance,kd_tree,100,1.0,cityblock,442.82332713754647
6,uniform,brute,30,3.0,l1,344.0910377942999
9,uniform,brute,10,4.0,euclidean,394.75799669558046
4,uniform,kd_tree,100,3.5,l1,336.26203531598503
2,uniform,ball_tree,80,1.0,cityblock,378.3591635687733
8,uniform,kd_tree,100,1.0,manhattan,386.80812267658
9,uniform,ball_tree,10,1.5,cityblock,392.6923750516315
6,uniform,kd_tree,40,3.5,l1,362.1387143742253
10,uniform,ball_tree,70,4.5,l1,390.8044033457247
10,uniform,kd_tree,70,2.5,l2,409.8248382899628
7,distance,kd_tree,60,4.0,manhattan,352.27836780761584
5,distance,kd_tree,60,2.5,cityblock,343.4312350637284
7,distance,brute,10,1.5,cityblock,342.64703473903654
9,distance,kd_tree,50,3.5,l2,383.1894167089229
7,distance,kd_tree,50,3.0,euclidean,372.81109513738346
5,distance,brute,60,4.5,l2,351.3554252298326
10,uniform,brute,50,2.5,l2,404.0589739776954
5,uniform,ball_tree,70,2.0,cityblock,351.7594907063198
10,uniform,ball_tree,70,2.0,manhattan,390.8044033457247
7,distance,ball_tree,50,1.5,l2,370.8923407984032
7,distance,ball_tree,50,3.0,cityblock,350.879871881093
4,uniform,kd_tree,40,3.0,euclidean,352.9799535315984
6,uniform,ball_tree,100,1.5,l2,366.4019919454772
6,distance,kd_tree,90,1.0,cityblock,333.26710339334505
8,uniform,kd_tree,50,4.0,manhattan,385.54315520446113
3,distance,ball_tree,80,1.0,cityblock,360.8721078066915
9,uniform,kd_tree,60,4.0,cityblock,385.1545848822801
9,uniform,ball_tree,60,3.5,cityblock,387.2543886823627
1,uniform,kd_tree,10,1.0,cityblock,466.0044237918216
4,distance,kd_tree,20,4.5,manhattan,346.17546393166936
2,uniform,ball_tree,80,3.5,manhattan,378.3591635687733
8,distance,ball_tree,100,3.5,l2,383.3236648996824
6,uniform,brute,90,4.5,manhattan,344.0910377942999
3,uniform,ball_tree,80,3.0,l2,362.0073110285008
8,distance,kd_tree,100,4.5,manhattan,361.6252518742626
3,uniform,ball_tree,100,2.0,cityblock,361.4097211895912
5,distance,ball_tree,10,3.5,euclidean,338.3526784263112
5,distance,brute,70,2.0,euclidean,351.3554252298326
7,distance,brute,80,2.0,l1,342.64703473903654
9,uniform,ball_tree,50,3.0,euclidean,403.66384758364313
8,distance,kd_tree,80,1.5,l2,385.1415464174658
4,uniform,brute,10,2.0,l1,355.2714033457249
3,distance,ball_tree,30,1.5,l1,374.5518767038413
1,uniform,brute,100,1.0,cityblock,458.78278810408926
10,distance,kd_tree,50,3.0,cityblock,363.91852593255487
9,uniform,kd_tree,10,2.5,cityblock,393.51486575795127
2,distance,ball_tree,50,2.0,cityblock,384.7993928128873
